benchmark,app,db_id,timing,n,gram_count
scop_d62,RUPEE Top-Aligned,d1ao6b1,64.2740000000000000,35,188
scop_d62,RUPEE Top-Aligned,d1ia2a_,64.5270000000000000,36,188
scop_d62,RUPEE Top-Aligned,d1b0ea_,57.0380000000000000,37,238
scop_d62,RUPEE Top-Aligned,d1ndqa_,81.8470000000000000,38,268
scop_d62,RUPEE Top-Aligned,d1bspa_,81.7960000000000000,39,271
scop_d62,RUPEE Top-Aligned,d2puga2,84.8490000000000000,40,278
scop_d62,RUPEE Top-Aligned,d1px3b4,77.5130000000000000,41,285
scop_d62,RUPEE Top-Aligned,d7ccpa_,86.8780000000000000,42,288
scop_d62,RUPEE Top-Aligned,d1e9ha_,83.1870000000000000,43,292
scop_d62,RUPEE Top-Aligned,d5rlaa_,89.0520000000000000,44,310
scop_d62,RUPEE Top-Aligned,d1dm5c_,83.1440000000000000,45,311
scop_d62,RUPEE Top-Aligned,d1qrqa_,94.9940000000000000,46,321
scop_d62,RUPEE Top-Aligned,d1g3it_,72.5420000000000000,47,321
scop_d62,RUPEE Top-Aligned,d1tyzd_,82.3990000000000000,48,323
scop_d62,RUPEE Top-Aligned,d1iwao1,90.1200000000000000,49,324
scop_d62,RUPEE Top-Aligned,d1o1cv_,96.9250000000000000,50,368
scop_d62,RUPEE Top-Aligned,d1xyla_,116.1810000000000000,51,382
scop_d62,RUPEE Top-Aligned,d1s5ma_,114.8810000000000000,52,383
scop_d62,RUPEE Top-Aligned,d3ximd_,113.6690000000000000,53,388
scop_d62,RUPEE Top-Aligned,d1roma_,114.6960000000000000,54,396
scop_d62,RUPEE Top-Aligned,d1jxja2,117.6980000000000000,55,399
scop_d62,RUPEE Top-Aligned,d1egya_,114.4080000000000000,56,400
scop_d62,RUPEE Top-Aligned,d1qj3b_,75.8330000000000000,57,405
scop_d62,RUPEE Top-Aligned,d1c1ba2,70.8970000000000000,58,415
scop_d62,RUPEE Top-Aligned,d1szsa1,81.1860000000000000,59,421
scop_d62,RUPEE Top-Aligned,d1hnvb_,86.0440000000000000,60,423
scop_d62,RUPEE Top-Aligned,d2oqef1,79.1550000000000000,61,432
scop_d62,RUPEE Top-Aligned,d1nzwb_,98.7440000000000000,62,490
scop_d62,SSM,d1ogbb1,65.8020000000000000,1,49
scop_d62,SSM,d4otaa_,66.8140000000000000,2,56
scop_d62,SSM,d1cklf1,66.2090000000000000,3,58
scop_d62,SSM,d1f9qa_,66.2170000000000000,4,60
scop_d62,SSM,d1brwa1,64.3260000000000000,5,66
scop_d62,SSM,d2nvqi2,66.9340000000000000,6,67
scop_d62,SSM,d1hc7c3,67.0700000000000000,7,70
scop_d62,SSM,d1d8la1,64.2200000000000000,8,72
scop_d62,SSM,d1v54u_,65.1530000000000000,9,75
scop_d62,SSM,d1v1tb1,66.2870000000000000,10,78
scop_d62,SSM,d1tzyd_,64.7220000000000000,11,79
scop_d62,SSM,d2f4vp1,67.6850000000000000,12,79
scop_d62,SSM,d1i6hf_,66.6420000000000000,13,80
scop_d62,SSM,d1gqme_,64.5640000000000000,14,83
scop_d62,SSM,d1kkmj_,66.6740000000000000,15,83
scop_d62,SSM,d1gg3b2,66.7110000000000000,16,88
scop_d62,SSM,d1jrqb2,38.9330000000000000,17,91
scop_d62,SSM,d1pf9i3,67.9080000000000000,18,91
scop_d62,SSM,d1isba2,68.9760000000000000,19,106
scop_d62,SSM,d1fyfa1,38.6630000000000000,20,106
scop_d62,SSM,d2c64a2,93.4270000000000000,21,108
scop_d62,SSM,d1srgb_,66.3380000000000000,22,110
scop_d62,SSM,d1bzqd_,65.8450000000000000,23,120
scop_d62,SSM,d1zdja_,67.1010000000000000,24,125
scop_d62,SSM,d2iw6b1,64.6370000000000000,25,130
scop_d62,SSM,d1zr4e2,66.7960000000000000,26,136
scop_d62,SSM,d1rhgc_,36.0840000000000000,27,137
scop_d62,SSM,d2igad1,67.4150000000000000,28,140
scop_d62,SSM,d1di0c_,66.1020000000000000,29,142
scop_d62,SSM,d1j6va_,38.0450000000000000,30,148
scop_d62,SSM,d1kpsc_,67.4540000000000000,31,152
scop_d62,SSM,d220la_,67.5700000000000000,32,159
scop_d62,SSM,d2rmaq_,67.1200000000000000,33,161
scop_d62,SSM,d1zqqa4,97.4710000000000000,34,183
scop_d62,SSM,d1ia2a_,68.6020000000000000,35,188
scop_d62,SSM,d1ao6b1,65.0220000000000000,36,188
scop_d62,SSM,d1b0ea_,68.3660000000000000,37,238
scop_d62,SSM,d1ndqa_,67.6800000000000000,38,268
scop_d62,SSM,d1bspa_,46.0240000000000000,39,271
scop_d62,SSM,d2puga2,67.2320000000000000,40,278
scop_d62,SSM,d1px3b4,100.5000000000000000,41,285
scop_d62,SSM,d7ccpa_,66.9870000000000000,42,288
scop_d62,SSM,d1e9ha_,67.3200000000000000,43,292
scop_d62,SSM,d5rlaa_,99.1260000000000000,44,310
scop_d62,SSM,d1dm5c_,66.0880000000000000,45,311
scop_d62,SSM,d1qrqa_,68.2150000000000000,46,321
scop_d62,SSM,d1g3it_,69.9350000000000000,47,321
scop_d62,SSM,d1tyzd_,68.4370000000000000,48,323
scop_d62,SSM,d1iwao1,69.7770000000000000,49,324
scop_d62,SSM,d1o1cv_,70.7700000000000000,50,368
scop_d62,SSM,d1xyla_,68.3990000000000000,51,382
scop_d62,SSM,d1s5ma_,61.0900000000000000,52,383
scop_d62,SSM,d3ximd_,68.3510000000000000,53,388
scop_d62,SSM,d1roma_,68.8310000000000000,54,396
scop_d62,SSM,d1jxja2,68.6450000000000000,55,399
scop_d62,SSM,d1egya_,98.4430000000000000,56,400
scop_d62,SSM,d1qj3b_,68.2770000000000000,57,405
scop_d62,SSM,d1c1ba2,68.2180000000000000,58,415
scop_d62,SSM,d1szsa1,51.8890000000000000,59,421
scop_d62,SSM,d1hnvb_,68.1280000000000000,60,423
scop_d62,SSM,d2oqef1,69.1170000000000000,61,432
scop_d62,SSM,d1nzwb_,69.2720000000000000,62,490
